"coupon_count","age","income","home_ownership","marital_status","household_size","household_comp","kids_count"
"high","65+","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","25-34","25-34K",NA,NA,"3","2 Adults Kids","1"
"high","25-34","75-99K","Homeowner",NA,"4","2 Adults Kids","2"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","65+","Under 15K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","45-54","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","75-99K","Renter","Married","2","2 Adults No Kids","0"
"high","45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","25-34K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
"low","35-44","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","35-44","125-149K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","Under 15K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","65+","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","15-24K","Homeowner","Unmarried","5+","2 Adults Kids","3+"
"high","45-54","150-174K","Homeowner","Married","5+","2 Adults Kids","3+"
"low","19-24","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","35-44","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","65+","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"low","55-64","100-124K","Homeowner","Married","4","2 Adults Kids","2"
"high","45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","25-34","150-174K","Homeowner","Married","4","2 Adults Kids","2"
"high","45-54","Under 15K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","35-44","25-34K","Homeowner","Married","2","1 Adult Kids","1"
"high","65+","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","100-124K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","55-64","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","25-34","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","35-49K",NA,"Unmarried","2","1 Adult Kids","1"
"high","45-54","Under 15K","Homeowner","Married","4","2 Adults Kids","2"
"high","35-44","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","25-34","Under 15K","Homeowner","Unmarried","3","1 Adult Kids","2"
"high","25-34","15-24K","Homeowner","Married","2","1 Adult Kids","1"
"high","25-34","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","35-44","125-149K","Homeowner","Married","4","2 Adults Kids","2"
"high","25-34","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","65+","35-49K","Probable Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","45-54","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","125-149K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","25-34K",NA,NA,"3","2 Adults Kids","1"
"high","45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","45-54","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","50-74K",NA,NA,"2","2 Adults No Kids","0"
"high","45-54","Under 15K","Homeowner","Married","2","1 Adult Kids","1"
"high","55-64","25-34K","Homeowner","Married","2","1 Adult Kids","1"
"high","45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","35-44","50-74K","Homeowner","Unmarried","3","2 Adults Kids","1"
"high","19-24","15-24K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"low","45-54","Under 15K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","19-24","75-99K",NA,"Married","3","2 Adults Kids","1"
"high","45-54","35-49K",NA,NA,"2","2 Adults No Kids","0"
"high","55-64","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"high","25-34","50-74K","Homeowner","Married","3","2 Adults Kids","1"
"low","25-34","100-124K","Homeowner","Married","4","2 Adults Kids","2"
"low","25-34","25-34K","Homeowner","Married","5+","1 Adult Kids","3+"
"high","45-54","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K","Homeowner","Married","2","1 Adult Kids","1"
"high","45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","Under 15K","Homeowner","Married","3","2 Adults Kids","1"
"low","45-54","15-24K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","45-54","25-34K","Homeowner",NA,"3","2 Adults Kids","1"
"high","65+","35-49K","Homeowner","Married","2","1 Adult Kids","1"
"high","35-44","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","55-64","Under 15K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
"high","55-64","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
"high","65+","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","35-49K",NA,"Married","2","2 Adults No Kids","0"
"high","25-34","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","35-49K",NA,NA,"2","2 Adults No Kids","0"
"high","35-44","250K+","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","50-74K","Renter","Unmarried","1","1 Adult No Kids","0"
"high","45-54","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","65+","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"low","35-44","125-149K","Homeowner","Married","4","2 Adults Kids","2"
"high","35-44","Under 15K","Renter","Married","3","2 Adults Kids","1"
"low","45-54","75-99K","Homeowner","Married","4","1 Adult Kids","2"
"high","45-54","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","25-34","25-34K",NA,"Unmarried","3","1 Adult Kids","2"
"high","45-54","35-49K",NA,NA,"2","2 Adults No Kids","0"
"low","45-54","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","35-44","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","100-124K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","25-34","35-49K",NA,NA,"2","2 Adults No Kids","0"
"high","25-34","50-74K","Homeowner","Married","4","2 Adults Kids","2"
"high","55-64","Under 15K",NA,"Married","2","1 Adult Kids","1"
"high","35-44","35-49K","Homeowner","Married","4","2 Adults Kids","2"
"low","45-54","35-49K","Homeowner",NA,"3","2 Adults Kids","1"
"high","25-34","50-74K",NA,NA,"2","2 Adults No Kids","0"
"high","19-24","35-49K","Homeowner",NA,"4","2 Adults Kids","2"
"low","25-34","75-99K","Homeowner","Married","2","1 Adult Kids","1"
"low","45-54","75-99K","Homeowner",NA,"3","2 Adults Kids","1"
"high","45-54","75-99K","Homeowner","Married","2","1 Adult Kids","1"
"high","45-54","35-49K","Homeowner","Unmarried","4","1 Adult Kids","3+"
"high","45-54","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"low","35-44","75-99K","Homeowner","Married","4","2 Adults Kids","2"
"high","25-34","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","125-149K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","Under 15K","Homeowner","Married","2","2 Adults No Kids","0"
"high","65+","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Married","4","1 Adult Kids","2"
"high","45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
"high","25-34","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","65+","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","55-64","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"low","65+","50-74K",NA,NA,"2","2 Adults No Kids","0"
"high","35-44","75-99K","Homeowner","Married","3","2 Adults Kids","1"
"high","45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","55-64","50-74K","Homeowner","Married","2","1 Adult Kids","1"
"high","25-34","35-49K","Homeowner","Unmarried","2","1 Adult Kids","1"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"low","25-34","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","35-44","25-34K","Probable Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","25-34","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","35-44","150-174K","Probable Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","25-34K","Renter","Unmarried","1","1 Adult No Kids","0"
"low","65+","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","250K+","Homeowner","Married","3","2 Adults Kids","1"
"low","35-44","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"low","35-44","150-174K","Homeowner","Married","3","2 Adults Kids","1"
"high","25-34","25-34K",NA,"Married","2","2 Adults No Kids","0"
"high","19-24","25-34K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"low","55-64","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","35-44","Under 15K",NA,NA,"2","2 Adults No Kids","0"
"high","65+","15-24K","Homeowner","Married","2","1 Adult Kids","1"
"high","45-54","100-124K",NA,"Unmarried","1","1 Adult No Kids","0"
"low","45-54","35-49K",NA,"Married","2","1 Adult Kids","1"
"high","35-44","35-49K",NA,NA,"3","2 Adults Kids","1"
"high","45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","19-24","50-74K","Probable Homeowner",NA,"2","2 Adults No Kids","0"
"low","19-24","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","15-24K","Homeowner","Married","3","2 Adults Kids","1"
"high","25-34","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
"low","35-44","50-74K","Probable Homeowner","Married","2","2 Adults No Kids","0"
"low","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"low","25-34","15-24K",NA,"Unmarried","2","1 Adult Kids","1"
"high","45-54","25-34K","Homeowner","Married","2","2 Adults No Kids","0"
"high","25-34","Under 15K","Renter","Unmarried","2","2 Adults No Kids","0"
"high","55-64","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","19-24","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","55-64","35-49K","Homeowner","Married","2","1 Adult Kids","1"
"high","65+","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"low","65+","100-124K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","65+","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","75-99K","Probable Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","15-24K",NA,NA,"2","2 Adults No Kids","0"
"low","35-44","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","55-64","150-174K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","75-99K",NA,"Married","2","1 Adult Kids","1"
"high","45-54","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","55-64","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","250K+","Homeowner","Married","3","2 Adults Kids","1"
"high","45-54","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
"high","65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"low","25-34","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","25-34","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","35-49K","Probable Homeowner","Married","3","1 Adult Kids","1"
"high","45-54","50-74K",NA,NA,"2","2 Adults No Kids","0"
"high","35-44","75-99K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","45-54","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","19-24","35-49K",NA,NA,"2","2 Adults No Kids","0"
"high","19-24","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","250K+","Homeowner","Married","3","2 Adults Kids","1"
"high","35-44","75-99K","Homeowner","Married","3","2 Adults Kids","1"
"high","35-44","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","55-64","35-49K","Homeowner","Married","2","1 Adult Kids","1"
"high","25-34","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","125-149K","Homeowner","Married","3","2 Adults Kids","1"
"high","35-44","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","19-24","35-49K","Renter","Married","3","2 Adults Kids","1"
"high","35-44","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
"low","35-44","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","35-49K",NA,NA,"3","2 Adults Kids","1"
"high","45-54","15-24K","Homeowner","Married","3","1 Adult Kids","1"
"high","19-24","Under 15K",NA,"Unmarried","2","1 Adult Kids","1"
"high","35-44","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","100-124K","Homeowner","Married","4","2 Adults Kids","2"
"high","25-34","75-99K","Homeowner","Married","4","2 Adults Kids","2"
"high","45-54","35-49K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
"high","45-54","125-149K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","25-34K","Renter","Unmarried","5+","1 Adult Kids","3+"
"high","45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","15-24K",NA,"Married","4","2 Adults Kids","2"
"high","45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K","Homeowner","Married","3","2 Adults Kids","1"
"high","45-54","50-74K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","35-49K","Homeowner","Married","3","2 Adults Kids","1"
"high","65+","100-124K","Homeowner","Married","3","2 Adults Kids","1"
"high","65+","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","50-74K","Renter","Married","4","2 Adults Kids","2"
"high","55-64","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","55-64","35-49K",NA,"Married","3","2 Adults Kids","1"
"high","35-44","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"low","35-44","25-34K",NA,NA,"2","2 Adults No Kids","0"
"high","35-44","50-74K",NA,NA,"2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","65+","125-149K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","Under 15K",NA,"Married","2","1 Adult Kids","1"
"high","35-44","125-149K","Homeowner","Married","3","2 Adults Kids","1"
"high","65+","15-24K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","65+","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","15-24K",NA,NA,"2","2 Adults No Kids","0"
"high","35-44","35-49K",NA,"Unmarried","3","1 Adult Kids","2"
"high","35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"high","25-34","100-124K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","35-44","100-124K","Homeowner","Married","4","2 Adults Kids","2"
"high","65+","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","55-64","15-24K",NA,NA,"3","2 Adults Kids","1"
"high","55-64","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
"low","45-54","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","25-34K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","35-44","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","55-64","75-99K","Homeowner","Married","4","2 Adults Kids","2"
"high","45-54","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","175-199K","Homeowner","Married","2","1 Adult Kids","1"
"low","65+","50-74K","Homeowner",NA,"3","2 Adults Kids","1"
"high","35-44","15-24K","Renter","Married","4","1 Adult Kids","2"
"low","45-54","Under 15K","Homeowner","Unmarried","3","2 Adults Kids","1"
"high","35-44","75-99K","Renter","Married","2","1 Adult Kids","1"
"low","45-54","75-99K","Homeowner","Married","4","2 Adults Kids","2"
"high","35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","25-34","125-149K","Homeowner","Married","5+","1 Adult Kids","3+"
"high","35-44","125-149K","Renter","Married","2","1 Adult Kids","1"
"low","35-44","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","150-174K","Homeowner","Married","2","2 Adults No Kids","0"
"high","35-44","50-74K","Renter","Married","2","1 Adult Kids","1"
"low","25-34","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","65+","125-149K","Homeowner",NA,"3","2 Adults Kids","1"
"high","45-54","100-124K","Homeowner","Married","2","1 Adult Kids","1"
"low","65+","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
"high","19-24","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","25-34","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
