"household_id","coupon_count","age","income","home_ownership","marital_status","household_size","household_comp","kids_count"
31,5,"35-44","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
48,56,"19-24","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
56,54,"55-64","100-124K","Homeowner","Married","4","2 Adults Kids","2"
159,0,"45-54","Under 15K","Homeowner",NA,"2","2 Adults No Kids","0"
170,0,"25-34","100-124K","Homeowner","Married","4","2 Adults Kids","2"
178,0,"25-34","25-34K","Homeowner","Married","5+","1 Adult Kids","3+"
201,0,"45-54","15-24K","Homeowner","Married","5+","2 Adults Kids","3+"
248,26,"35-44","125-149K","Homeowner","Married","4","2 Adults Kids","2"
250,0,"45-54","75-99K","Homeowner","Married","4","1 Adult Kids","2"
264,56,"45-54","75-99K","Homeowner",NA,"2","2 Adults No Kids","0"
302,49,"45-54","35-49K","Homeowner",NA,"3","2 Adults Kids","1"
309,0,"25-34","75-99K","Homeowner","Married","2","1 Adult Kids","1"
314,33,"45-54","75-99K","Homeowner",NA,"3","2 Adults Kids","1"
325,0,"35-44","75-99K","Homeowner","Married","4","2 Adults Kids","2"
370,56,"65+","50-74K",NA,NA,"2","2 Adults No Kids","0"
385,0,"25-34","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
391,68,"65+","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
395,0,"35-44","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
400,26,"35-44","150-174K","Homeowner","Married","3","2 Adults Kids","1"
410,49,"55-64","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
417,0,"45-54","35-49K",NA,"Married","2","1 Adult Kids","1"
432,48,"19-24","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
438,63,"35-44","50-74K","Probable Homeowner","Married","2","2 Adults No Kids","0"
441,48,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
442,56,"25-34","15-24K",NA,"Unmarried","2","1 Adult Kids","1"
462,48,"65+","100-124K",NA,"Unmarried","1","1 Adult No Kids","0"
485,26,"35-44","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
540,54,"25-34","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
593,0,"35-44","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
672,48,"35-44","25-34K",NA,NA,"2","2 Adults No Kids","0"
716,48,"45-54","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
741,56,"65+","50-74K","Homeowner",NA,"3","2 Adults Kids","1"
748,68,"45-54","Under 15K","Homeowner","Unmarried","3","2 Adults Kids","1"
753,0,"45-54","75-99K","Homeowner","Married","4","2 Adults Kids","2"
764,48,"35-44","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
770,0,"25-34","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
785,0,"65+","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
790,68,"45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
831,0,"45-54","50-74K","Homeowner","Unmarried","3","1 Adult Kids","2"
852,56,"25-34","35-49K",NA,NA,"4","2 Adults Kids","2"
865,0,"35-44","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
866,0,"45-54","15-24K",NA,"Unmarried","2","1 Adult Kids","1"
875,0,"25-34","25-34K",NA,NA,"3","2 Adults Kids","1"
879,61,"35-44","50-74K","Homeowner","Unmarried","2","2 Adults No Kids","0"
914,0,"45-54","15-24K","Homeowner","Unmarried","2","2 Adults No Kids","0"
946,68,"19-24","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
981,0,"45-54","25-34K","Homeowner","Married","2","1 Adult Kids","1"
986,48,"25-34","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
992,0,"45-54","35-49K","Homeowner","Married","3","2 Adults Kids","1"
1003,47,"35-44","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
1021,50,"35-44","50-74K","Homeowner","Married","5+","2 Adults Kids","3+"
1076,56,"25-34","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
1120,49,"35-44","Under 15K","Renter","Unmarried","4","2 Adults Kids","2"
1135,0,"45-54","50-74K",NA,"Unmarried","2","1 Adult Kids","1"
1147,0,"19-24","25-34K",NA,NA,"2","2 Adults No Kids","0"
1151,56,"45-54","Under 15K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
1218,56,"45-54","35-49K","Homeowner","Married","4","2 Adults Kids","2"
1257,5,"45-54","50-74K","Homeowner",NA,"3","2 Adults Kids","1"
1267,0,"25-34","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
1268,0,"35-44","Under 15K","Homeowner",NA,"4","2 Adults Kids","2"
1300,49,"45-54","50-74K","Homeowner","Married","4","2 Adults Kids","2"
1354,56,"65+","15-24K","Homeowner","Unmarried","2","2 Adults No Kids","0"
1363,56,"25-34","15-24K",NA,"Unmarried","2","1 Adult Kids","1"
1389,48,"65+","100-124K","Homeowner","Married","2","1 Adult Kids","1"
1429,33,"45-54","35-49K","Renter","Unmarried","1","1 Adult No Kids","0"
1438,33,"45-54","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
1474,56,"35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1479,33,"45-54","15-24K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
1484,56,"19-24","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
1499,49,"55-64","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
1524,33,"45-54","35-49K","Homeowner","Married","2","2 Adults No Kids","0"
1572,56,"35-44","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
1580,47,"19-24","50-74K",NA,"Unmarried","2","2 Adults No Kids","0"
1627,56,"25-34","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
1649,0,"35-44","150-174K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1650,0,"45-54","75-99K","Homeowner","Married","3","2 Adults Kids","1"
1680,0,"25-34","15-24K","Homeowner","Married","3","2 Adults Kids","1"
1686,49,"45-54","15-24K","Homeowner",NA,"2","2 Adults No Kids","0"
1695,48,"35-44","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1709,48,"25-34","35-49K",NA,"Married","3","2 Adults Kids","1"
1748,0,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
1765,35,"45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
1775,0,"45-54","75-99K","Homeowner","Married","5+","2 Adults Kids","3+"
1785,26,"25-34","35-49K","Homeowner","Married","5+","2 Adults Kids","3+"
1796,68,"19-24","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
1800,49,"35-44","175-199K","Homeowner","Married","2","2 Adults No Kids","0"
1815,0,"45-54","25-34K",NA,NA,"2","2 Adults No Kids","0"
1841,56,"45-54","35-49K","Homeowner","Unmarried","2","2 Adults No Kids","0"
1844,0,"45-54","250K+","Homeowner","Married","2","2 Adults No Kids","0"
1896,56,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
1926,0,"25-34","35-49K","Homeowner",NA,"2","2 Adults No Kids","0"
1946,63,"25-34","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
1948,56,"35-44","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
1949,56,"45-54","Under 15K",NA,"Unmarried","1","1 Adult No Kids","0"
1962,38,"65+","25-34K",NA,NA,"2","2 Adults No Kids","0"
1964,56,"65+","Under 15K","Renter","Unmarried","1","1 Adult No Kids","0"
1980,56,"55-64","50-74K","Homeowner","Married","2","1 Adult Kids","1"
2002,47,"35-44","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2013,56,"19-24","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
2023,0,"45-54","35-49K","Homeowner",NA,"3","2 Adults Kids","1"
2040,0,"25-34","25-34K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2063,47,"55-64","75-99K","Homeowner","Married","2","2 Adults No Kids","0"
2094,56,"45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
2119,0,"25-34","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2140,0,"65+","15-24K","Homeowner","Married","2","2 Adults No Kids","0"
2158,56,"25-34","50-74K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
2172,0,"25-34","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
2173,56,"25-34","35-49K",NA,NA,"2","2 Adults No Kids","0"
2179,49,"45-54","35-49K","Homeowner","Married","3","2 Adults Kids","1"
2181,49,"55-64","100-124K","Homeowner","Married","3","2 Adults Kids","1"
2250,56,"35-44","75-99K",NA,"Unmarried","1","1 Adult No Kids","0"
2252,0,"45-54","50-74K","Homeowner","Married","4","2 Adults Kids","2"
2272,0,"65+","25-34K","Homeowner","Married","2","2 Adults No Kids","0"
2279,68,"25-34","50-74K",NA,NA,"2","2 Adults No Kids","0"
2292,0,"45-54","35-49K","Renter","Married","5+","2 Adults Kids","3+"
2342,63,"55-64","100-124K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2347,56,"45-54","35-49K",NA,NA,"2","2 Adults No Kids","0"
2390,63,"25-34","50-74K",NA,"Married","2","1 Adult Kids","1"
2397,0,"65+","125-149K",NA,"Unmarried","2","2 Adults No Kids","0"
2435,0,"45-54","50-74K","Homeowner","Unmarried","5+","1 Adult Kids","3+"
2449,0,"35-44","175-199K","Homeowner","Married","5+","2 Adults Kids","3+"
2465,0,"65+","15-24K","Homeowner","Married","2","1 Adult Kids","1"
2483,56,"45-54","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
2494,68,"35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
